,ID,Zero Crossing Rate,Spectral Centroid,Spectral Rolloff,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10,coeff_11,coeff_12,coeff_13,coeff_14,coeff_15,coeff_16,coeff_17,coeff_18,coeff_19,Class
0,0,8594,973.2338537999999,1820.429475,868.193510524952,209.5724400185777,-51.8078875967955,45.89811911359356,-27.396105695744758,14.636734215456087,3.9563011398475205,-0.9722025540443818,3.376162776929481,-1.2596093181318464,7.91609723587313,-2.006381772258632,7.07961516973696,-0.11997354922014933,6.9462429903438085,2.4540396892598073,4.461631376350603,4.563184443262657,1.7835686239529966,5.400529014446102,siren
1,1,8505,995.0343527999999,2023.7488440000002,925.4776628676883,198.01507303437683,-50.10006174380016,50.20650443494,-8.691102857276094,22.073756418919512,-4.375627385940973,12.682338040882653,-6.576050965029604,-2.842202299804257,3.0264382893825754,-5.642398705911637,5.487998210754236,-8.748228822556124,5.772470181820745,-4.984564928170512,4.134379500391083,-1.573480337802383,0.5340937529729188,-0.25837768822670176,street_music
2,10,18684,1508.308747,2577.305961,775.394219676215,155.9199992248705,-61.10551283750707,14.595018053564793,-23.997244829737106,22.613896702467105,-19.3344457205542,-2.7070189663802475,-0.7195663036615341,-9.310734729294925,9.94988901971482,-10.323467953309692,6.1895109352265285,-0.8994364881967095,11.805130363107889,-2.492080976210232,-1.9757961514228672,8.158251852589089,-4.877500635142032,3.9450316014750113,street_music
3,100,7848,1551.9627970000001,3168.439198,797.0812531583545,117.7562101006691,-21.64156771817647,13.454607551165983,5.639352196619909,29.21216153134962,2.0360211170068565,16.77323745937687,-10.180921278148306,19.347473561696447,11.563083832147877,8.656206170725506,-9.933437121490691,16.409064712016956,3.3029305359566656,6.367739248476558,4.0205532471658625,9.438693117337314,-4.981641795782148,6.557961097741696,air_conditioner
4,1000,10766,1209.128782,2238.985012,808.65126471047,171.98755120713616,-27.39199627042522,22.852130362576528,-14.743425895401503,1.1792991855500554,-5.52706996944398,-4.593826766416608,2.0413011323961334,-3.9561146537639393,-0.7064111957442095,-2.564894929693513,1.5646248067077453,-3.979291654008832,-8.433095130543576,-2.2361997677892362,-3.4166754984754006,-1.728908764121488,-2.4243148210908125,-3.4821315132973902,street_music
5,1001,17681,1600.805217,2981.1003309999996,937.8995272932029,169.07275419107617,-93.06020403945205,60.00240213250309,-23.534935638235225,31.956940921603188,-9.286707252541015,15.553530593369848,4.976442288436808,2.0617310502421304,15.493642619877123,-2.0304384288897306,8.692304778063196,0.42353113122153535,11.192432495415147,-4.611375730920301,5.023348049393851,-1.5604597937621536,1.7200190224279006,3.968142027269619,air_conditioner
6,1003,6107,856.7211677000001,1210.58408,648.2521476115658,159.7169050621467,25.23237277577253,-14.294829949291579,-8.524325085847357,4.287223300747621,11.728302421199151,6.834643422377422,0.47624880600476477,1.7931375089607937,5.165536236871058,0.8694079690643247,-4.173472218327201,-3.765509217631551,-2.888626135304716,-4.3630524250145974,-6.087025156336318,-2.609044628117381,6.831937843841708,16.38789222720607,dog_bark
7,1004,6251,1619.345145,3668.227964,774.3813345481412,101.98796808651163,-14.477669041058896,25.499903143335956,5.245125198593619,26.04308854327586,5.412952423099144,26.215143751160646,-6.248049206596934,18.328909965810986,9.551559709094233,11.659092748536699,-6.442602067905301,13.786584829073787,-0.3385786492756678,3.0487121346317196,2.616658313446831,10.408155627908606,-0.9235018005940745,7.661360463357928,air_conditioner
8,1006,12873,1665.1532650000001,3685.2360729999996,882.37984103172,132.61714924368783,-42.58870570177614,59.18473209018552,-12.156840965429026,21.803679255822782,-2.1507679775725395,8.71445415599201,5.711326684584786,14.352969059410057,2.002446645331009,12.984409828231698,-0.8022914073069319,3.527571331397424,-4.1837872579960305,3.7995059698184317,-1.2476386110200495,5.113490726828709,-1.0609543663026104,2.8622247772320075,jackhammer
9,1007,18336,2761.470468,4413.879395,785.566946159715,110.4230594944456,-115.99105682156632,64.41476835674499,-59.21756299086053,25.32108389463422,-10.82359978358045,-14.285885683034774,4.726619810926918,-4.200060411662171,-6.276922430457643,12.006093577291363,2.325086191843734,-4.017674886288626,13.650641476610833,-11.28095197542146,4.948573194768578,-15.37953576320622,0.06396952732388093,-5.869767201505698,car_horn
